Project__c,Salesforce_Field_Name__c,Third_Party_Field_Name__c,Target_Field_Type__c,Exclude_from_su__c,Exclude_from_tpu__c
FABIO_QA,copado__Functional_Specifications__c,System.Reason,,FALSE,FALSE
FABIO_QA,copado__Project__c,projectId,,FALSE,TRUE
FABIO_QA,copado__User_Story_Title__c,System.Title,,FALSE,FALSE
FABIO_QA,recordTypeId,recordTypeId,,FALSE,TRUE
FABIO_QA,External_Id__c,id,,FALSE,FALSE
FABIO_QA,copado__Developer__c,developer,,FALSE,TRUE
FABIO_QA,copado__Story_Points_SFDC__c,Microsoft.VSTS.Scheduling.StoryPoints,,FALSE,FALSE
FABIO_QA,copado__Status__c,System.State,,FALSE,FALSE
FABIO_QA,copado__Priority__c,Microsoft.VSTS.Common.Priority,,FALSE,FALSE
FABIO_QA,copado__Sprint__c,sprintId,,FALSE,TRUE
